	GeoArea_FIPS	GeoArea_Key	GeoArea_Name	PZ_Name	WDB_Name	Economic_Measure_Name	Data_Period_Business_Key	GDP
16358	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	Government and government enterprises	2009	32738.0
16359	37105	FIPS_37105	Lee County	North Central	Triangle South	  Agriculture, forestry, fishing and hunting	2009	8106.0
16360	37105	FIPS_37105	Lee County	North Central	Triangle South	  Mining, quarrying, and oil and gas extraction	2009	9722.0
16361	37105	FIPS_37105	Lee County	North Central	Triangle South	  Utilities	2009	21516.0
16362	37105	FIPS_37105	Lee County	North Central	Triangle South	  Construction	2009	79569.0
16363	37105	FIPS_37105	Lee County	North Central	Triangle South	  Manufacturing	2009	1554470.0
16364	37105	FIPS_37105	Lee County	North Central	Triangle South	  Wholesale trade	2009	171336.0
16365	37105	FIPS_37105	Lee County	North Central	Triangle South	  Retail trade	2009	136394.0
16366	37105	FIPS_37105	Lee County	North Central	Triangle South	  Transportation and warehousing	2009	19172.0
16367	37105	FIPS_37105	Lee County	North Central	Triangle South	  Information	2009	13771.0
16368	37105	FIPS_37105	Lee County	North Central	Triangle South	   Real estate and rental and leasing	2009	210209.0
16369	37105	FIPS_37105	Lee County	North Central	Triangle South	  Professional and business services	2009	123874.0
16370	37105	FIPS_37105	Lee County	North Central	Triangle South	   Management of companies and enterprises	2009	
16371	37105	FIPS_37105	Lee County	North Central	Triangle South	   Administrative and support and waste management and remediation services	2009	35276.0
16372	37105	FIPS_37105	Lee County	North Central	Triangle South	   Educational services	2009	8204.0
16373	37105	FIPS_37105	Lee County	North Central	Triangle South	   Health care and social assistance	2009	148172.0
16374	37105	FIPS_37105	Lee County	North Central	Triangle South	   Arts, entertainment, and recreation	2009	8330.0
16375	37105	FIPS_37105	Lee County	North Central	Triangle South	   Accommodation and food services	2009	37280.0
16376	37105	FIPS_37105	Lee County	North Central	Triangle South	  Other services (except government and government enterprises)	2009	38546.0
16377	37105	FIPS_37105	Lee County	North Central	Triangle South	Government and government enterprises	2009	205541.0
